Country;Заболели;Умерли;Вылечились;Активные  случаи
Индия;34081315 ;452290 ;0;33629025;
Бразилия;21644464 ;603282 ;0;21041182;
Великобритания;8461343 ;138684 ;0;-1;
Россия;8027012 ;224310 ;7017055 ;785647;
Турция;7654247 ;67623 ;0;7586624;
Франция;6935198 ;115129 ;0;-1;
Иран;5784815 ;124075 ;0;5660740;
Аргентина;5272551 ;115666 ;0;5156885;
Испания;4984386;86974;0;-1;
Колумбия;4981532 ;126865 ;0;4854667;
Италия;4717899 ;131541 ;0;4586358;
Германия;4382019 ;94632 ;0;4287387;
Индонезия;4234758 ;142952 ;0;4091806;
Мексика;3757056 ;284381 ;0;3472675;
Польша;2939590 ;76112 ;0;2863478;
ЮАР;2916593 ;88612 ;0;2827981;
Украина;2757328 ;64603 ;0;2692725;
Филиппины;2720368 ;40675 ;0;2679693;
Малайзия;2390687 ;27921 ;0;2362766;
Перу;2190009 ;199843 ;0;1990166;
Нидерланды;2050046 ;18268 ;0;-1;
Ирак;2035453 ;22756 ;0;2012697;
Таиланд;1783701 ;18273 ;0;1765428;
Япония;1715515 ;18112 ;0;1697403;
Чехия;1708925 ;30545 ;0;1678380;
Канада;1687883 ;28545 ;0;1659338;
Чили;1670750 ;37609 ;0;1633141;
Бангладеш;1565488 ;27768 ;0;1537720;
Румыния;1457260 ;41781 ;0;1415479;
Израиль;1316317 ;7999 ;0;1308318;
Бельгия;1279869;25747;0;-1;
Пакистан;1265047 ;28280 ;0;1236767;
Швеция;1161933;14956;0;-1;
Португалия;1079806 ;18097 ;0;1061709;
Сербия;1048835 ;9105 ;0;-1;
Казахстан;996141 ;16618;0;979523;
Марокко;942132 ;14544 ;0;927588;
Куба;934965 ;8058 ;0;926907;
Вьетнам;864053 ;21194 ;0;842859;
Швейцария;854591;11156;0;843435;
Иордания;841489 ;10879 ;0;830610;
Венгрия;833115;30351;0;802764;
Непал;805037 ;11284 ;0;793753;
Австрия;775782 ;11167 ;0;764615;
ОАЭ;738586 ;2120 ;0;736466;
Тунис;710906 ;25098 ;0;685808;
Греция;693886 ;15375 ;0;678511;
Грузия;662334 ;9468 ;0;652866;
Ливан;633909 ;8425 ;0;625484;
Гватемала;588069 ;14330 ;0;573739;
Белоруссия;571987 ;4402 ;0;567585;
Коста-Рика;551144;6797;0;544347;
Саудовская Аравия;547931 ;8763 ;0;539168;
Болгария;540619 ;22274 ;0;518345;
Шри-Ланка;531648 ;13484 ;0;518164;
Эквадор;513026;32899;0;480127;
Боливия;506654 ;18834 ;0;487820;
Азербайджан;502207 ;6765 ;0;495442;
Мьянма ;487853 ;18359 ;0;469494;
Панама;470264 ;7291 ;0;462973;
Парагвай;460322;16209;0;444113;
Палестинские территории;447032;4556;0;442476;
Словакия;437385 ;12846 ;0;424539;
Хорватия;427914 ;8896 ;0;419018;
Ирландия;415114 ;5306;0;409808;
Кувейт;412332 ;2457 ;0;409875;
Венесуэла;392762 ;4719 ;0;388043;
Уругвай;391044 ;6069 ;0;384975;
Гондурас;372179;10096;0;362083;
Доминиканская Республика;370451 ;4087 ;0;366364;
Дания;368651 ;2685 ;0;365966;
Литва;368641 ;5439 ;0;363202;
Эфиопия;359247 ;6217 ;0;353030;
Ливия;349990 ;4883 ;0;345107;
Южная Корея;343445 ;2668 ;0;340777;
Монголия;339536 ;1556 ;0;337980;
Египет;318456 ;17970 ;0;300486;
Молдова;316529 ;7241 ;0;309288;
Словения;308136 ;4638 ;0;303498;
Оман;304054 ;4105 ;0;299949;
Армения;281991 ;5778 ;0;276213;
Бахрейн;276118 ;1391;0;274727;
Кения;252033 ;5223 ;0;246810;
Босния и Герцеговина;243914;11110;0;232804;
Катар;237929 ;608;0;237321;
Замбия;209521 ;3658;0;205863;
Нигерия;209298 ;2837 ;0;206461;
Алжир;205286 ;5872 ;0;199414;
Северная Македония;197091 ;6940 ;0;190151;
Норвегия;196351 ;884;0;195467;
Латвия;185614 ;2890 ;0;182724;
Ботсвана;181856;2386;0;179470;
Узбекистан;180958 ;1287 ;0;179671;
Киргизия;179845 ;2634 ;0;177211;
Албания;177971 ;2820 ;0;175151;
Эстония;172514 ;1426 ;0;171088;
Косово;160540 ;2973;0;157567;
Афганистан;155764 ;7243 ;0;148521;
Мозамбик;151102 ;1926 ;0;149176;
Финляндия;149897;1116;0;148781;
Сингапур;148178 ;233 ;0;147945;
Австралия;145263 ;1543 ;0;143720;
Черногория;137769 ;2023 ;0;135746;
Зимбабве;132368 ;4658 ;0;127710;
Гана;129440 ;1167 ;0;128273;
Намибия;128328 ;3538;0;124790;
Уганда;125186 ;3185 ;0;122001;
Кипр;121995;563 ;0;121432;
Камбоджа;116665 ;2658 ;0;114007;
Сальвадор;110188;3477 ;0;106711;
Китай;108921 ;4849;0;104072;
Руанда;99145 ;1313;0;97832;
Камерун;98402;1550;0;96852;
Ямайка;87389 ;2110 ;0;85279;
Мальдивы;86165 ;238 ;0;85927;
Люксембург;79720;839;0;78881;
Сенегал;73866 ;1871;0;71995;
Ангола;62842 ;1664 ;0;61178;
Малави;61716 ;2292;0;59424;
Кот-д’Ивуар;61038 ;682 ;0;60356;
Конго - Киншаса;57269;1089;0;56180;
Тринидад и Тобаго;54114 ;1600 ;0;52514;
Реюньон;54024;370;0;53654;
Гваделупа;53836;800;0;53036;
Фиджи;51701;663;0;51038;
Суринам;46447 ;1022 ;0;45425;
Эсватини;46363 ;1233;0;45130;
Французская Полинезия;45439;633;0;44806;
Мадагаскар;43616;960;0;42656;
Французская Гвиана;43255;293;0;42962;
Мартиника;42269;656;0;41613;
Судан;39550;3038;0;36512;
Сирия;39086 ;2408 ;0;36678;
Кабо-Верде;38040 ;347;0;37693;
Мальта;37453 ;459;0;36994;
Мавритания;36677 ;788;0;35889;
Гайана;34455 ;870 ;0;33585;
Габон;33442;213;0;33229;
Лаос;32029 ;40 ;0;31989;
Гвинея;30572;385;0;30187;
Танзания;26034;724;0;25310;
Того;25899 ;239 ;0;25660;
Бенин;24560;161;0;24399;
Папуа — Новая Гвинея;24041;266;0;23775;
Белиз;23990;461;0;23529;
Гаити;22933;657;0;22276;
Сейшельские Острова;21854;119;0;21735;
Багамы;21580;590;0;20990;
Лесото;21530 ;655;0;20875;
Сомали;21269;1180;0;20089;
Восточный Тимор;19714 ;119;0;19595;
Бурунди;19555;38;0;19517;
Таджикистан;17484;125;0;17359;
Кюрасао;16934 ;171;0;16763;
Маврикий;16621;129;0;16492;
Тайвань;16337 ;846;0;15491;
Никарагуа;15737;206;0;15531;
Аруба;15720 ;170;0;15550;
Мали;15619 ;557;0;15062;
Конго - Браззавиль;15514;222;0;15292;
Андорра;15338;130;0;15208;
Буркина-Фасо;14734 ;203;0;14531;
Джибути;13396 ;179;0;13217;
Барбадос;12968 ;119 ;0;12849;
Экваториальная Гвинея;12840;156;0;12684;
Исландия;12455;33;0;12422;
Сент-Люсия;12228 ;236;0;11992;
Южный Судан;12184;130;0;12054;
ЦАР;11469;100;0;11369;
Бруней-Даруссалам;10860 ;73 ;0;10787;
Новая Каледония;9977 ;241 ;0;9736;
Гамбия;9946;339;0;9607;
Йемен;9526 ;1804 ;0;7722;
о-в Мэн;8578 ;56;0;8522;
Эритрея;6774 ;45 ;0;6729;
Сьерра-Леоне;6396;121;0;6275;
Нигер;6170 ;204;0;5966;
Гвинея-Бисау;6130 ;141;0;5989;
Либерия;5803;286;0;5517;
Гибралтар;5758 ;98;0;5660;
Гренада;5746 ;192;0;5554;
Бермудские о-ва;5567 ;95;0;5472;
Сан-Марино;5473;91;0;5382;
Чад;5067;174;0;4893;
Новая Зеландия;5056 ;28;0;5028;
Сент-Винсент и Гренадины;4623 ;53 ;0;4570;
Синт-Мартен;4444;71;0;4373;
Коморы;4186 ;147;0;4039;
Доминика;4153;28;0;4125;
Антигуа и Барбуда;3888;95;0;3793;
Сен-Мартен;3878;55;0;3823;
Сан-Томе и Принсипи;3677 ;56;0;3621;
Лихтенштейн;3584;60;0;3524;
Монако;3358;35;0;3323;
о-ва Тёркс и Кайкос;2925 ;23;0;2902;
Виргинские о-ва ;2725;37;0;2688;
Бутан;2617;3;0;2614;
Сент-Китс и Невис;2550 ;21;0;2529;
Сен-Бартелеми;1658;6;0;1652;
Фарерские о-ва;1350 ;2;0;1348;
Острова Кайман;1011;2;0;1009;
Лайнер «Даймонд Принсесс»;712;13;0;699;
Ангилья;668;1;0;667;
Гренландия;654;0;0;654;
Фолклендские о-ва;69;0;0;69;
Монтсеррат;41;1;0;40;
Сен-Пьер и Микелон;32;0;0;32;
Ватикан;27;0;0;27;
Соломоновы Острова;20;0;0;20;
Палау;8;0;0;8;
Вануату;4;1;0;3;
Маршалловы Острова;4;0;0;4;
Самоа;3;0;0;3;
Кирибати;2;0;0;2;
Федеративные Штаты Микронезии;1;0;0;1;
Всего;240861806;4903849;7017055;228940902;
